app,module,component,model_name,description
discuss,channel,member,discuss.channel.member,Channel Member (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
slide,channel,tag.group,slide.channel.tag.group,Channel/Course Groups (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
slide,channel,tag,slide.channel.tag,Channel/Course Tag (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
chat,room,,chat.room,Chat Room (Store all useful information to manage chat room (currently limited to Jitsi). This model embeds all information about the chat room. We do not store them in the related mixin (see chat.room.mixin) to avoid to add too many fields on the models which want to use the chat room mixin as the behavior can be optional in those models. The participant count is automatically updated thanks to the chat room widget to avoid having a costly computed field with a members model.)
chat,room,mixin,chat.room.mixin,"Chat Room Mixin (Add the chat room configuration (`chat.room`) on the needed models. The chat room configuration contains all information about the room. So, we store all the chat room logic at the same place, for all models. Embed chat room related fields prefixed with `room_`.)"
lot,label,layout,lot.label.layout,"Choose the sheet layout to print lot labels (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
product,label,layout,product.label.layout,"Choose the sheet layout to print the labels (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
picking,label,type,picking.label.type,"Choose whether to print product or lot/sn labels (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
ir,actions,client,ir.actions.client,Client Action (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,loan,close.wizard,account.loan.close.wizard,"Close Loan Wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
pos,close,session.wizard,pos.close.session.wizard,"Close Session Wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
pos,bill,,pos.bill,Coins/Bills (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
spreadsheet,revision,,spreadsheet.revision,Collaborative spreadsheet revision (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
project,collaborator,,project.collaborator,Collaborators in project shared (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,edi,common,account.edi.common,"Common functions for EDI documents: generate the data, the constraints, etc (The base model, which is implicitly inherited by all models.)"
sale,edi,common,sale.edi.common,"Common functions for EDI orders (The base model, which is implicitly inherited by all models.)"
bus,bus,,bus.bus,Communication Bus (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
base,document,layout,base.document.layout,Company Document Layout (Customise the company document layout and display a live preview)
res,config,,res.config,"Config (Base classes for new-style configuration items Configuration items should inherit from this class, implement the execute method (and optionally the cancel one) and have their view inherit from the related res_config_view_base view.)"
res,config,settings,res.config.settings,"Config Settings (NOTES 1. Fields with name starting with 'pos_' are removed from the vals before super call to `create`. Values of these fields are written to `pos_config_id` record after the super call. This is done so that these fields are written at the same time to the active pos.config record. 2. During `creation` of this record, each related field is written to the source record *one after the other*, so constraints on the source record that are based on multiple fields might not work properly. However, only the *modified* related fields are written to the source field. But the identification of modified fields happen during the super call, not before `create` is called. Because of this, vals contains a lot of field before super call, then the number of fields is reduced after.)"
ir,actions,todo,ir.actions.todo,Configuration Wizards (Configuration Wizards)
confirm,stock,sms,confirm.stock.sms,"Confirm Stock SMS (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
stock,inventory,conflict,stock.inventory.conflict,"Conflict in Inventory (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
slide,question,,slide.question,Content Quiz Question (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,contract,type,hr.contract.type,Contract Type (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,contract,employee.report,hr.contract.employee.report,Contract and Employee Analysis Report (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,contract,history,hr.contract.history,Contract history (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
crm,lead2opportunity,partner.mass,crm.lead2opportunity.partner.mass,"Convert Lead to Opportunity (in mass) (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
crm,lead2opportunity,partner,crm.lead2opportunity.partner,"Convert Lead to Opportunity (not in mass) (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
social,post,to.lead,social.post.to.lead,"Convert Social Post to Lead (Simple wizard allowing to convert a social.stream.post or a comment/reply to a post into a lead. This wizard is typically used from the """"Feed"""" social view, when the end user can interact with its community through their posts or view other people's posts. For more information about the 2 'sources' of conversion ('comment' and 'stream_post'), see #action_convert_to_lead. Please note that for obvious privacy reasons, the social media platforms will not provide us with people's email, phone or address information, we only have the author name and the content of their post/comment. For that reason, end users will probably often only convert to leads based on existing clients, since otherwise they will not have any mean to contact the created lead.)"
spreadsheet,dashboard,share,spreadsheet.dashboard.share,Copy of a shared dashboard (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
res,country,,res.country,Country (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
res,country,group,res.country.group,Country Group (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
format,vat,label.mixin,format.vat.label.mixin,"Country Specific VAT Label (The base model, which is implicitly inherited by all models.)"
res,country,state,res.country.state,Country state (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
website,cover_properties,mixin,website.cover_properties.mixin,"Cover Properties Website Mixin (The base model, which is implicitly inherited by all models.)"
account,automatic,entry.wizard,account.automatic.entry.wizard,"Create Automatic Entries (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
project,create,invoice,project.create.invoice,"Create Invoice from project (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
wizard,ir,model.menu.create,wizard.ir.model.menu.create,"Create Menu Wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
project,task,create.timesheet,project.task.create.timesheet,"Create Timesheet from task (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
spreadsheet,document,to.dashboard,spreadsheet.document.to.dashboard,"Create a dashboard from a spreadsheet document (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
l10n_mx_edi,global_invoice,create,l10n_mx_edi.global_invoice.create,Create a global invoice (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mail,activity,todo.create,mail.activity.todo.create,"Create activity and todo at the same time (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
coupon,share,,coupon.share,"Create links that apply a coupon and redirect to a specific page (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
crm,quotation,partner,crm.quotation.partner,"Create new or use existing Customer on new Quotation (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
certificate,key,,certificate.key,Cryptographic Keys (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
res,currency,,res.currency,Currency (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
res,currency,rate,res.currency.rate,Currency Rate (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
ir,ui,view.custom,ir.ui.view.custom,Custom View (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
pos_self_order,custom_link,,pos_self_order.custom_link,Custom links that the restaurant can configure to be displayed on the self order screen (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
stock,lot,report,stock.lot.report,Customer Lot Report (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,customer,statement.report.handler,account.customer.statement.report.handler,"Customer Statement Custom Handler (The base model, which is implicitly inherited by all models.)"
decimal,precision,,decimal.precision,Decimal Precision (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
ir,default,,ir.default,Default Values (Mixin that overrides the create and write methods to properly generate ir.model.data entries flagged with Studio for the corresponding resources. Doesn't create an ir.model.data if the record is part of a module being currently installed as the ir.model.data will be created automatically afterwards.)
x_project_task_worksheet_template_1,,,x_project_task_worksheet_template_1,Default Worksheet (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,deferred,expense.report.handler,account.deferred.expense.report.handler,"Deferred Expense Custom Handler (The base model, which is implicitly inherited by all models.)"
account,deferred,report.handler,account.deferred.report.handler,"Deferred Expense Report Custom Handler (The base model, which is implicitly inherited by all models.)"
account,deferred,revenue.report.handler,account.deferred.revenue.report.handler,"Deferred Revenue Custom Handler (The base model, which is implicitly inherited by all models.)"
choose,delivery,carrier,choose.delivery.carrier,"Delivery Carrier Selection Wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
choose,delivery,package,choose.delivery.package,"Delivery Package Selection Wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
delivery,price,rule,delivery.price.rule,Delivery Price Rules (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
delivery,zip,prefix,delivery.zip.prefix,Delivery Zip Prefix (Zip prefix that a delivery.carrier will deliver to.)
ir,demo,,ir.demo,"Demo (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
ir,demo_failure,wizard,ir.demo_failure.wizard,"Demo Failure wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
ir,demo_failure,,ir.demo_failure,Demo failure (Stores modules for which we could not install demo data)
hr,departure,reason,hr.departure.reason,Departure Reason (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,departure,wizard,hr.departure.wizard,"Departure Wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
res,device,log,res.device.log,Device Log (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
res,device,,res.device,Devices (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
digest,digest,,digest.digest,Digest (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
digest,tip,,digest.tip,Digest Tips (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,disallowed,expenses.category,account.disallowed.expenses.category,Disallowed Expenses Category (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,disallowed,expenses.report.handler,account.disallowed.expenses.report.handler,"Disallowed Expenses Custom Handler (The base model, which is implicitly inherited by all models.)"
account,disallowed,expenses.fleet.report.handler,account.disallowed.expenses.fleet.report.handler,"Disallowed Expenses Fleet Custom Handler (The base model, which is implicitly inherited by all models.)"
account,disallowed,expenses.rate,account.disallowed.expenses.rate,Disallowed Expenses Rate (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
sale,order,discount,sale.order.discount,"Discount Wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
documents,access,,documents.access,Document / Partner (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mail,followers,,mail.followers,Document Followers (mail_followers holds the data related to the follow mechanism inside Odoo. Partners can choose to follow documents (records) of any kind that inherits from mail.thread. Following documents allow to receive notifications for new messages. A subscription is characterized by: :param: res_model: model of the followed objects :param: res_id: ID of resource (may be 0 for every objects))
documents,redirect,,documents.redirect,"Document Redirect (Model used to keep the old links valid after the 18.0 migration. Do *NOT* use that model or inherit from it, it will be removed in the future.)"
documents,request_wizard,,documents.request_wizard,"Document Request (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
documents,link_to_record_wizard,,documents.link_to_record_wizard,"Documents Link to Record (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
documents,mixin,,documents.mixin,"Documents creation mixin (Inherit this mixin to automatically create a `documents.document` when an `ir.attachment` is linked to a record and add the default values when creating a document related to the model that inherits from this mixin. Override this mixin's methods to specify an owner, a folder, tags or access_rights for the document. Note: this mixin can be disabled with the context variable """"no_document True"""".)"
documents,unlink,mixin,documents.unlink.mixin,Documents unlink mixin (Send the related documents to trash when the record is deleted.)
fleet,vehicle,assignation.log,fleet.vehicle.assignation.log,Drivers history on a vehicle (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
website,sale,extra.field,website.sale.extra.field,E-Commerce Extra Info Shown on product page (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,edi,xml.ubl_efff,account.edi.xml.ubl_efff,"E-FFF (BE) (The base model, which is implicitly inherited by all models.)"
account,ec,sales.report.handler,account.ec.sales.report.handler,"EC Sales Report Custom Handler (The base model, which is implicitly inherited by all models.)"
registration,editor,,registration.editor,"Edit Attendee Details on Sales Confirmation (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
registration,editor,line,registration.editor.line,Edit Attendee Line on Sales Confirmation (Event Registration)
hr,payroll,edit.payslip.worked.days.line,hr.payroll.edit.payslip.worked.days.line,"Edit payslip line wizard worked days (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
hr,payroll,edit.payslip.lines.wizard,hr.payroll.edit.payslip.lines.wizard,"Edit payslip lines wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
hr,payroll,edit.payslip.line,hr.payroll.edit.payslip.line,"Edit payslip lines wizard line (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
mail,alias,,mail.alias,"Email Aliases (A Mail Alias is a mapping of an email address with a given Odoo Document model. It is used by Odoo's mail gateway when processing incoming emails sent to the system. If the recipient address (To) of the message matches a Mail Alias, the message will be either processed following the rules of that alias. If the message is a reply it will be attached to the existing discussion on the corresponding record, otherwise a new record of the corresponding model will be created. This is meant to be used in combination with a catch-all email configuration on the company's mail server, so that as soon as a new mail.alias is created, it becomes immediately usable and Odoo will accept email for it.)"
mail,alias,mixin,mail.alias.mixin,Email Aliases Mixin (A mixin for models that inherits mail.alias to have a one-to-one relation between the model and its alias.)
mail,alias,mixin.optional,mail.alias.mixin.optional,"Email Aliases Mixin (light) (A mixin for models that handles underlying 'mail.alias' records to use the mail gateway. Field is not mandatory and its creation is done dynamically based on given 'alias_name', allowing to gradually populate the alias table without having void aliases as when used with an inherits-like implementation.)"
mail,alias,domain,mail.alias.domain,"Email Domain (Model alias domains, now company-specific. Alias domains are email domains used to receive emails through catchall and bounce aliases, as well as using mail.alias records to redirect email replies. This replaces ``mail.alias.domain`` configuration parameter use until v16.)"
mail,template,preview,mail.template.preview,"Email Template Preview (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
mail,template,,mail.template,Email Templates (Mixin that overrides the create and write methods to properly generate ir.model.data entries flagged with Studio for the corresponding resources. Doesn't create an ir.model.data if the record is part of a module being currently installed as the ir.model.data will be created automatically afterwards.)
mail,compose,message,mail.compose.message,Email composition wizard (Generic message composition wizard. You may inherit from this wizard at model and view levels to provide specific features. The behavior of the wizard depends on the composition_mode field: - 'comment': post on a record. - 'mass_mail': wizard in mass mailing mode where the mail details can contain template placeholders that will be merged with actual data before being sent to each recipient.)
mail,resend,message,mail.resend.message,"Email resend wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
ir,embedded,actions,ir.embedded.actions,Embedded Actions (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
slide,embed,,slide.embed,"Embedded Slides View Counter (Embedding in third party websites. Track view count, generate statistics.)"
hr,employee,category,hr.employee.category,Employee Category (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,employee,delete.wizard,hr.employee.delete.wizard,"Employee Delete Wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
report,hr_skills,report_employee_cv,report.hr_skills.report_employee_cv,"Employee Resume (The base model, which is implicitly inherited by all models.)"
hr,employee,skill.report,hr.employee.skill.report,"Employee Skills Report (The base model, which is implicitly inherited by all models.)"
base,enable,profiling.wizard,base.enable.profiling.wizard,"Enable profiling for some time (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
calendar,alarm,,calendar.alarm,Event Alarm (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
calendar,alarm_manager,,calendar.alarm_manager,"Event Alarm Manager (The base model, which is implicitly inherited by all models.)"
event,mail,,event.mail,Event Automated Mailing (Event automated mailing. This model replaces all existing fields and configuration allowing to send emails on events since Odoo 9. A cron exists that periodically checks for mailing to run.)
event,event,configurator,event.event.configurator,"Event Configurator (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
event,lead,request,event.lead.request,"Event Lead Request (Technical model created when a user requests 'leads generation' on an event based on all existing event.lead.rules (see event#action_generate_leads). As an event can hold a lot of registrations, we use a batch approach with a separate model that contains the batching logic method and the field to retain progress. To benefit from a background processing, we use a CRON that calls itself with a CRON trigger until the batch is completed, which unlinks this technical generation record.)"
event,lead,rule,event.lead.rule,"Event Lead Rules (Rule model for creating / updating leads from event registrations. SPECIFICATIONS: CREATION TYPE There are two types of lead creation: * per attendee: create a lead for each registration; * per order: create a lead for a group of registrations; The last one is only available through interface if it is possible to register a group of attendees in one action (when event_sale or website_event are installed). Behavior itself is implemented directly in event_crm. Basically a group is either a list of registrations belonging to the same event and created in batch (website_event flow). With event_sale this definition will be improved to be based on sale_order. SPECIFICATIONS: CREATION TRIGGERS There are three options to trigger lead creation. We consider basically that lead quality increases if attendees confirmed or went to the event. Triggers allow therefore to run rules: * at attendee creation; * at attendee confirmation; * at attendee venue; This trigger defines when the rule will run. SPECIFICATIONS: FILTERING REGISTRATIONS When a batch of registrations matches the rule trigger we filter them based on conditions and rules defines on event_lead_rule model. Heuristic is the following: * the rule is active; * if a filter is set: filter registrations based on this filter. This is done like a search, and filter is a domain; * if a company is set on the rule, it must match event's company. Note that multi-company rules apply on event_lead_rule; * if an event category it set, it must match; * if an event is set, it must match; * if both event and category are set, one of them must match (OR). If none of those are set, it is considered as OK; If conditions are met, leads are created with pre-filled informations defined on the rule (type, user_id, team_id). Contact information coming from the registrations are computed (customer, name, email, phone, contact_name). SPECIFICATIONS: OTHER POINTS Note that all rules matching their conditions are applied. This means more than one lead can be created depending on the configuration. This is intended in order to give more freedom to the user using the automatic lead generation.)"
calendar,event,type,calendar.event.type,Event Meeting Type (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
event,question,,event.question,Event Question (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
event,question,answer,event.question.answer,Event Question Answer (Contains suggested answers to a 'simple_choice' event.question.)
calendar,recurrence,,calendar.recurrence,Event Recurrence Rule (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
event,registration,answer,event.registration.answer,Event Registration Answer (Represents the user input answer for a single event.question)
event,sale,report,event.sale.report,"Event Sales Report (Event Registrations-based sales report, allowing to analyze sales and number of seats by event (type), ticket, etc. Each opened record will also give access to all this information.)"
event,sponsor,type,event.sponsor.type,Event Sponsor Level (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
event,stage,,event.stage,Event Stage (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
event,tag,,event.tag,Event Tag (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
event,tag,category,event.tag.category,Event Tag Category (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
event,type,,event.type,Event Template (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
event,type,ticket,event.type.ticket,Event Template Ticket (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
event,event,ticket,event.event.ticket,"Event Ticket (Ticket model allowing to have different kind of registrations for a given event. Ticket are based on ticket type as they share some common fields and behavior. Those models come from <  v13 Odoo event.event.ticket that modeled both concept: tickets for event templates, and tickets for events.)"
event,track,location,event.track.location,Event Track Location (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
event,track,stage,event.track.stage,Event Track Stage (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
event,track,tag,event.track.tag,Event Track Tag (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
event,track,tag.category,event.track.tag.category,Event Track Tag Category (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,expense,approve.duplicate,hr.expense.approve.duplicate,Expense Approve Duplicate (This wizard is shown whenever an approved expense is similar to one being approved. The user has the opportunity to still validate it or decline.)
hr,expense,refuse.wizard,hr.expense.refuse.wizard,Expense Refuse Reason Wizard (Wizard to specify reason on expense sheet refusal)
